รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง,ช่วงเวลา
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,8,จันทร์_8
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,จันทร์,9,จันทร์_9
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,9,จันทร์_9
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,จันทร์,10,จันทร์_10
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,10,จันทร์_10
ENGEE502_sec1,ไฟฟ้า,เอก,ทค1_101,theory,จันทร์,10,จันทร์_10
ENGCC304_sec2,computer programming,อ.ยุพดี หัตถสิน,ทค1_201,theory,จันทร์,11,จันทร์_11
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,11,จันทร์_11
ENGCE118_sec1,discrete,อ.จักรภพ ใหม่เสน,ทค2_101,theory,จันทร์,12,จันทร์_12
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,12,จันทร์_12
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,13,จันทร์_13
ENGCE122_sec1,micro,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค1_205,theory,จันทร์,14,จันทร์_14
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,15,จันทร์_15
ปฐมนิเทศ,ปฐมนิเทศ,N/A,N/A,activity,จันทร์,16,จันทร์_16
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,17,จันทร์_17
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค2_201,theory,จันทร์,17,จันทร์_17
ENGCE128_sec2,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,17,จันทร์_17
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,18,จันทร์_18
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค2_201,theory,จันทร์,18,จันทร์_18
ENGCE128_sec2,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,18,จันทร์_18
ENGCE109_sec2,computer networks,อ.ภาณุเดช ทิพย์อักษร,ทค2_301,theory,จันทร์,19,จันทร์_19
ENGCE112_sec1,solfware design,อ.ธนิต เกตุแก้ว,ทค2_201,theory,จันทร์,19,จันทร์_19
ENGCE128_sec2,pre-operative,อ.กิตตินันท น้อยมณี,ทค1_101,theory,จันทร์,19,จันทร์_19
ENGCE125_sec2_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_201,lab,อังคาร,8,อังคาร_8
ENGCE125_sec2_lab,OS,อ.ปิยพล ยืนยงสถาวร,ทค2_201,lab,อังคาร,9,อังคาร_9
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_202,theory,อังคาร,10,อังคาร_10
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_202,theory,อังคาร,11,อังคาร_11
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,อังคาร,12,อังคาร_12
ENGCE125_sec1,OS,อ.ปิยพล ยืนยงสถาวร,ทค1_202,theory,อังคาร,12,อังคาร_12
ENGCE106_sec1_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,อังคาร,13,อังคาร_13
ENGCE123_sec1,system,อ.ณัฐชาสิทธ ชูเกียรติขจร,ทค2_201,theory,อังคาร,13,อังคาร_13
ENGCE106_sec3_lab,data communication,อ.อรรถพล วิเวก,ทค2_301,lab,อังคาร,14,อังคาร_14
