รหัสวิชา,ชื่อวิชา,อาจารย์,ห้อง,ประเภท,วัน,ชั่วโมง
DENEE501_sec1_lab,doctoral seminar,อ.ขวัญชัย เอื้อวิริยานุกูล,ทค1_101,lab,อาทิตย์,8
DENEE501_sec2_lab,doctoral seminar,อ.สมนึก สุระธง,ทค1_205,lab,อาทิตย์,10
DENEE503_sec1_lab,doctoral seminar,อ.ประเสริฐ ลือโขง,ทค1_202,lab,พุธ,11
DENEE734_sec1,advanced artificial intelligence and machine learning,อ.จักรภพ ใหม่เสน,ทค1_202,theory,อังคาร,13
DENEE734_sec1,advanced artificial intelligence and machine learning,อ.จักรภพ ใหม่เสน,ทค1_202,theory,อังคาร,14
DENEE734_sec2,advanced artificial intelligence and machine learning,อ.สมนึก สุระธง,ทค2_101,theory,ศุกร์,8
DENEE734_sec2,advanced artificial intelligence and machine learning,อ.สมนึก สุระธง,ทค2_101,theory,ศุกร์,9
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค1_101,theory,อังคาร,17
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค1_101,theory,อังคาร,18
DENEE734_sec3,advanced artificial intelligence and machine learning,อ.ประเสริฐ ลือโขง,ทค1_101,theory,อังคาร,19
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,17
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,18
ENGCC304_sec1,computer programming,โด,ทค1_101,theory,จันทร์,19
ENGCC304_sec2,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,ศุกร์,11
ENGCC304_sec2,computer programming,อ.กิตตินันท น้อยมณี,ทค1_201,theory,ศุกร์,12
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,lab,จันทร์,11
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,lab,จันทร์,12
ENGCC304_sec2_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,lab,จันทร์,13
ENGCC304_sec3,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,theory,อังคาร,11
ENGCC304_sec3,computer programming,อ.กิตตินันท น้อยมณี,ทค1_101,theory,อังคาร,12
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,17
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,18
ENGCC304_sec3_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,lab,จันทร์,19
ENGCC304_sec4,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,พฤหัสบดี,8
ENGCC304_sec4,computer programming,อ.กิตตินันท น้อยมณี,ทค2_201,theory,พฤหัสบดี,9
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,14
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,15
ENGCC304_sec4_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_202,lab,พฤหัสบดี,16
ENGCC304_sec5,computer programming,อ.กิตตินันท น้อยมณี,ทค2_101,theory,อาทิตย์,14
ENGCC304_sec5,computer programming,อ.กิตตินันท น้อยมณี,ทค2_101,theory,อาทิตย์,15
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_205,lab,เสาร์,11
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_205,lab,เสาร์,12
ENGCC304_sec5_lab,computer programming,อ.กิตตินันท น้อยมณี,ทค1_205,lab,เสาร์,13
ENGCC304_sec6,computer programming,อ.อนันท์ ทับเกิด,ทค2_201,theory,อังคาร,10
ENGCC304_sec6,computer programming,อ.อนันท์ ทับเกิด,ทค2_201,theory,อังคาร,11
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,lab,พุธ,17
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,lab,พุธ,18
ENGCC304_sec6_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_202,lab,พุธ,19
ENGCC304_sec7,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,theory,อังคาร,12
ENGCC304_sec7,computer programming,อ.อนันท์ ทับเกิด,ทค2_101,theory,อังคาร,13
ENGCC304_sec7_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,lab,พุธ,8
ENGCC304_sec7_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,lab,พุธ,9
ENGCC304_sec7_lab,computer programming,อ.อนันท์ ทับเกิด,ทค1_201,lab,พุธ,10
ENGCE106_sec1,data communication and networks,อ.อรรถพล วิเวก,ทค2_302,theory,อังคาร,13
ENGCE106_sec1,data communication and networks,อ.อรรถพล วิเวก,ทค2_302,theory,อังคาร,14
ENGCE106_sec1_lab,data communication and networks,อ.อรรถพล วิเวก,ทค2_301,lab,พฤหัสบดี,14
ENGCE106_sec1_lab,data communication and networks,อ.อรรถพล วิเวก,ทค2_301,lab,พฤหัสบดี,15
ENGCE106_sec1_lab,data communication and networks,อ.อรรถพล วิเวก,ทค2_301,lab,พฤหัสบดี,16
